Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $4271.02/ETH,TxnFee(ETH),TxnFee(USD),Method,Status,DateTimeNew
0x4495db2b2078280d40bc422f71ac5ac89483bf25280592e60767bb723358de5b,7002979,1637821861,11/25/21 6:31,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0xa79206d16407aaee427260bbfd1e9419d7a4c2a3,0,0,0,0.000410587,1.753625734,Accepire-BT Contract,,25/11/21 6:31
0x3975f2101985c3ecbdd2d0afd2e4c2a592732308f105cc1c64986a01567d5dc9,7002984,1637821921,11/25/21 6:32,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xa79206d16407aaee427260bbfd1e9419d7a4c2a3,,0,0,0,1.59E-05,0.067901384,Set Sales Agreement,,25/11/21 6:31
0x610a655ee97c2069db14186a7ba6256cef1392083fe3a136e59ae0ba7df37fe1,7002987,1637821921,11/25/21 6:32,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xa79206d16407aaee427260bbfd1e9419d7a4c2a3,,0,0,0,2.29E-05,0.097819367,Add Order,,25/11/21 6:31
0xdb7ecb89b3959b6a68b570d3ce5b145800102640d0dbe792b88e939bb531a1cb,7002988,1637821921,11/25/21 6:32,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xa79206d16407aaee427260bbfd1e9419d7a4c2a3,,0,0,0,1.60E-05,0.068158848,Create Invoice,,25/11/21 6:31
0xc6fbdc7b73b66ee335c7d8acc77455817ff56323bd68714d016866794c0cc8b6,7002991,1637821921,11/25/21 6:32,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xa79206d16407aaee427260bbfd1e9419d7a4c2a3,,0,0,0,9.30E-06,0.039712644,Confirm Invoice,,25/11/21 6:31
0xa1dd48f0862ebaa08471d0e82329fe82b3a46e1047f80d33f45653018e158b00,7002996,1637821921,11/25/21 6:32,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xa79206d16407aaee427260bbfd1e9419d7a4c2a3,,0,0,0,9.31E-06,0.039780269,Confirm Order,,25/11/21 6:31
0xcf1ea1b52cc1d677eeab325efbc76db32efc2446aceb964345c9f5627df87889,7003001,1637821921,11/25/21 6:32,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xa79206d16407aaee427260bbfd1e9419d7a4c2a3,,0,0,0,1.79E-05,0.07660145,Set Financial Agreement Parties,,25/11/21 6:31
0x45fa223952923adee8555c606b63d5b4c1dd8a028fd5b68c7702cda4f3b25f85,7003004,1637821981,11/25/21 6:33,0x9049ce69906d3cd891556810c39f09ea921fc087,0xa79206d16407aaee427260bbfd1e9419d7a4c2a3,,0,0,0,7.25E-06,0.030963412,Confirm Financial Agreement,,25/11/21 6:31
0x715d48e94eb7fe2302ade32326d4dc960571ad0fbe740273635cd788b6bc94b6,7003007,1637821981,11/25/21 6:33,0x9049ce69906d3cd891556810c39f09ea921fc087,0xa79206d16407aaee427260bbfd1e9419d7a4c2a3,,0,0,0,1.84E-05,0.07839167,Set LC Agreement,,25/11/21 6:31
0x1280b9fdb59302bc3511c44f7803681e2f47d2d1d8acd361af482d617294a5e1,7003009,1637821981,11/25/21 6:33,0x9049ce69906d3cd891556810c39f09ea921fc087,0xa79206d16407aaee427260bbfd1e9419d7a4c2a3,,0,0,0,9.45E-06,0.040371046,Add Document,,25/11/21 6:31
0xc93587445bdd094cc9ef08f6e4f1d06f67123bfaff53315f7355f8352c9cb863,7003012,1637821981,11/25/21 6:33,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0xa79206d16407aaee427260bbfd1e9419d7a4c2a3,,0,0,0,9.47E-06,0.040443438,Validate Document,,25/11/21 6:31
0x0a19b6e18d52eba76cdfe6263fa400ee9dcf6a746901b76765ab9db7cad432a4,7003013,1637821981,11/25/21 6:33,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xa79206d16407aaee427260bbfd1e9419d7a4c2a3,,0,0,0,2.38E-05,0.101541356,Set Shipping Agreement,,25/11/21 6:31
0x33ab8adb28151f08fc9ac673225c3f381af42ed9ed2c0dc0e55da33314ce35fc,7003015,1637821981,11/25/21 6:33,0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6,0xa79206d16407aaee427260bbfd1e9419d7a4c2a3,,0,0,0,7.26E-06,0.031022813,Verify Goods,,25/11/21 6:31
0xf7fa483b775f9fe922c65f49a6c52ebbaf3dd36c05da9e74cd78bc7c4b420911,7003019,1637822041,11/25/21 6:34,0x413209e0c7b8bede4d6a510a8282fd7e92811eee,0xa79206d16407aaee427260bbfd1e9419d7a4c2a3,,0,0,0,7.24E-06,0.030907991,Verify Goods,,25/11/21 6:31
0x59a67adf9f23062d3698051f6ba5ac472c41566eb2101bd90493deeeb342e917,7003022,1637822041,11/25/21 6:34,0x209b153a796c1924b675e5cd9476384cd38e9387,0xa79206d16407aaee427260bbfd1e9419d7a4c2a3,,0,0,0,7.27E-06,0.031037948,Initiate Shipment,,25/11/21 6:31
0x4b5183d6e9b0e985e2f2f7d239691c33c37245d1f9681423728582508117e445,7003023,1637822041,11/25/21 6:34,0xe323b722518c16b903eb840d6ee00c504bfec25b,0xa79206d16407aaee427260bbfd1e9419d7a4c2a3,,0,0,0,7.25E-06,0.030970061,Verify Goods,,25/11/21 6:31
0x0d8d6972f925aef043deaaf50f295d20732fe8fde58292e2851079a6e7d5d41d,7003026,1637822041,11/25/21 6:34,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xa79206d16407aaee427260bbfd1e9419d7a4c2a3,,0,0,0,7.25E-06,0.030967261,Confirm Shipment,,25/11/21 6:31
0x6ddcbd95c9c9c427b77b268675e1f32b5a51b967e503f7eb5e3d2fb3d93414e8,7003030,1637822041,11/25/21 6:34,0x9049ce69906d3cd891556810c39f09ea921fc087,0xa79206d16407aaee427260bbfd1e9419d7a4c2a3,,0,0,0,1.68E-05,0.071612831,Set Payment Agreement,,25/11/21 6:31
0xcac7e5c1c87e16bb1cd0f56e35c157e108ae3c9c1687a850ea2a47568e585e02,7003031,1637822041,11/25/21 6:34,0x9049ce69906d3cd891556810c39f09ea921fc087,0xa79206d16407aaee427260bbfd1e9419d7a4c2a3,,0,0,0,7.25E-06,0.030968967,Initiate Payment,,25/11/21 6:31
0xfebd9a4125f1d0f5d0774ef8648b8a4d751b685c7816a9ea2beb3a8937f1e49d,7003034,1637822041,11/25/21 6:34,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0xa79206d16407aaee427260bbfd1e9419d7a4c2a3,,0,0,0,7.24E-06,0.030906898,Processpayment,,25/11/21 6:31
0xbf25c2a7a2e23e668a6785037bcdbc642226b782f15f09f8cebbb5d8954e38c6,7003035,1637822101,11/25/21 6:35,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xa79206d16407aaee427260bbfd1e9419d7a4c2a3,,0,0,0,7.22E-06,0.030851914,Payment Received,,25/11/21 6:31