Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(MATIC),Value_OUT(MATIC),CurrentValue @ $1.69/MATIC,TxnFee(MATIC),TxnFee(USD),Historical $Price/MATIC,Status,ErrCode,Method,
0xeac4f8a50e66b5b22de767f857af52b8119d1248dad3ab717bd444813f47b9ad,21848707,1637724020,2021-11-24 03:20:20,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x4fb584fa6f2babedae4956cf7ecf22dd3c9230df,0,0,0,0.0181313545,0.030641989105,,,,Accepire-BT Contract,
0xbf3a4bac87f0654f8751f7ecc3934568325d9f8484447f605e391c79b9c7dcc6,21848710,1637724026,2021-11-24 03:20:26,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x4fb584fa6f2babedae4956cf7ecf22dd3c9230df,,0,0,0,0.0003921925,0.000662805325,,,,Set Sales Agreement,
0x4709385269bd662ed5a5c23d712a71eeef5e6a7e7fffab99117102e1dbb27494,21848715,1637724036,2021-11-24 03:20:36,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x4fb584fa6f2babedae4956cf7ecf22dd3c9230df,,0,0,0,0.000670705,0.00113349145,,,,Add Order,
0x516db144627ce77cbe0c1499f495a658a7e90a8a744805130808655f8fd59de7,21848720,1637724046,2021-11-24 03:20:46,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x4fb584fa6f2babedae4956cf7ecf22dd3c9230df,,0,0,0,0.000421771,0.00071279299,,,,Create Invoice,
0x95c91530a2156d7a77699073c8f11f3efe994e4c4f186659947ab6c52b83080b,21848725,1637724056,2021-11-24 03:20:56,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x4fb584fa6f2babedae4956cf7ecf22dd3c9230df,,0,0,0,0.0001631105,0.000275656745,,,,Confirm Invoice,
0x066ae4901c51ea7e8102127774d945d21da68c5c6f4e0f669129d4eba818f643,21848729,1637724064,2021-11-24 03:21:04,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x4fb584fa6f2babedae4956cf7ecf22dd3c9230df,,0,0,0,0.0001719865,0.000290657185,,,,Confirm Order,
0x99e16a1dcac8151364a99c0ea6346bf915b645b5b7f33b336192f64f4db14a4e,21848736,1637724078,2021-11-24 03:21:18,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x4fb584fa6f2babedae4956cf7ecf22dd3c9230df,,0,0,0,0.0004863425,0.000821918825,,,,Set Financial Agreement Parties,
0x6e5dffaede46ac38f81390b43d30c6e99058313b80216d129fa7a678beb13da0,21848740,1637724086,2021-11-24 03:21:26,0x9049ce69906d3cd891556810c39f09ea921fc087,0x4fb584fa6f2babedae4956cf7ecf22dd3c9230df,,0,0,0,0.000103943,0.00017566367,,,,Confirm Financial Agreement,
0xf39c679940c536d68d86327e711e4b27130fc40ddd06917a37acfef9f7925307,21848744,1637724094,2021-11-24 03:21:34,0x9049ce69906d3cd891556810c39f09ea921fc087,0x4fb584fa6f2babedae4956cf7ecf22dd3c9230df,,0,0,0,0.0004871265,0.000823243785,,,,Set LC Agreement,
0xe70c42d14e5c4b4a547daa039e6ee6a953ed63017e0bf16aba1bc7624fda5eae,21848747,1637724100,2021-11-24 03:21:40,0x9049ce69906d3cd891556810c39f09ea921fc087,0x4fb584fa6f2babedae4956cf7ecf22dd3c9230df,,0,0,0,0.0001880095,0.000317736055,,,,Add Document,
0xaf3c02fbe17ecf3b3773220ef213ee51829c083f1841011b71cf33aa0ea45d68,21848754,1637724114,2021-11-24 03:21:54,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x4fb584fa6f2babedae4956cf7ecf22dd3c9230df,,0,0,0,0.0001670235,0.000282269715,,,,Validate Document,
0x502a05d38d2ab2251e54ae7bdf258253e8b6dae69151f87fed000ffcdc11faa6,21848759,1637724124,2021-11-24 03:22:04,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x4fb584fa6f2babedae4956cf7ecf22dd3c9230df,,0,0,0,0.000661038,0.00111715422,,,,Set Shipping Agreement,
0xc67cb8184783675ed276c3389ac5ed3b199e8b37572703b2559335bd51c4119e,21848764,1637724134,2021-11-24 03:22:14,0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6,0x4fb584fa6f2babedae4956cf7ecf22dd3c9230df,,0,0,0,0.0001030645,0.000174179005,,,,Verify Goods,
0xaf572ce877c9b908798d1846d6853dde5c64ad6c2a188e58a3e18a0c3c275b67,21848768,1637724146,2021-11-24 03:22:26,0x413209e0c7b8bede4d6a510a8282fd7e92811eee,0x4fb584fa6f2babedae4956cf7ecf22dd3c9230df,,0,0,0,0.000119007,0.00020112183,,,,Verify Goods,
0xb4e53e572d143fa6241197f4a604696f2da7c9c701fd4c1556409024312b5940,21848773,1637724156,2021-11-24 03:22:36,0x209b153a796c1924b675e5cd9476384cd38e9387,0x4fb584fa6f2babedae4956cf7ecf22dd3c9230df,,0,0,0,0.0001138515,0.000192409035,,,,Initiate Shipment,
0x588030b7be7aad47f4e62305c3c1e01f04c77d47556475504682fe711a5cbdb8,21848778,1637724166,2021-11-24 03:22:46,0xe323b722518c16b903eb840d6ee00c504bfec25b,0x4fb584fa6f2babedae4956cf7ecf22dd3c9230df,,0,0,0,0.000119175,0.00020140575,,,,Verify Goods,
0x8119f18aa7468186554a691fa31d1b510033cedf5e29345c9fc8612a6494e083,21848783,1637724176,2021-11-24 03:22:56,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x4fb584fa6f2babedae4956cf7ecf22dd3c9230df,,0,0,0,0.000104286,0.00017624334,,,,Confirm Shipment,
0x692ea105dff70518015d005712212c6b0d4615e9dc67ae579c98c7f9631c6bb9,21848786,1637724182,2021-11-24 03:23:02,0x9049ce69906d3cd891556810c39f09ea921fc087,0x4fb584fa6f2babedae4956cf7ecf22dd3c9230df,,0,0,0,0.0004036935,0.000682242015,,,,Set Payment Agreement,
0x928b1c43852eebfdd932f1b78301e3c91b5dfe051ea8626e55e22445f3c1faf0,21848791,1637724192,2021-11-24 03:23:12,0x9049ce69906d3cd891556810c39f09ea921fc087,0x4fb584fa6f2babedae4956cf7ecf22dd3c9230df,,0,0,0,0.000112203,0.00018962307,,,,Initiate Payment,
0x8ef4053cad11241fb24cf4fba8ec6b3111080f16417854a8ad398305209205ee,21848795,1637724200,2021-11-24 03:23:20,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x4fb584fa6f2babedae4956cf7ecf22dd3c9230df,,0,0,0,0.000104482,0.00017657458,,,,Processpayment,
0xff6026175c03ec1d9454d63bd16fa92e65f122247c04beeb03aba326f16b6fc8,21848800,1637724210,2021-11-24 03:23:30,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x4fb584fa6f2babedae4956cf7ecf22dd3c9230df,,0,0,0,0.0001058225,0.000178840025,,,,Payment Received,