Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(MATIC),Value_OUT(MATIC),CurrentValue @ $1.904/MATIC,TxnFee(MATIC),TxnFee(USD),Historical $Price/MATIC,Status,ErrCode,Method,
0x89bd697c7f84dabde119db7662d5d4b628686d623b71187190090a3d43987f5b,21927780,1637890146,2021-11-26 01:29:06,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x05b9e4456b26045af464f6e78e43b04d82d00961,0,0,0,0.0181313545,0.034522098968,,,,Accepire-BT Contract,
0x2101777958b4311248e22e204535a0e3bc4e96deb72f3e225e727aace901dd82,21927784,1637890154,2021-11-26 01:29:14,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x05b9e4456b26045af464f6e78e43b04d82d00961,,0,0,0,0.0003921925,0.00074673452,,,,Set Sales Agreement,
0x30bc13979d7ef9d38bbf9599dc16910a0bb7875ba847a2b3d0e878ca4e139c4b,21927789,1637890164,2021-11-26 01:29:24,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x05b9e4456b26045af464f6e78e43b04d82d00961,,0,0,0,0.000670705,0.00127702232,,,,Add Order,
0x4467a0f4d120038b0364c0fcd5cf8aefe530e1746aa61ea580e51611434bc714,21927794,1637890174,2021-11-26 01:29:34,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x05b9e4456b26045af464f6e78e43b04d82d00961,,0,0,0,0.000421771,0.000803051984,,,,Create Invoice,
0xe0886f90e911aec684697f6d515b950e75602e264a27ebb724159872fc22a82e,21927799,1637890184,2021-11-26 01:29:44,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x05b9e4456b26045af464f6e78e43b04d82d00961,,0,0,0,0.0001631105,0.000310562392,,,,Confirm Invoice,
0xc63fdd9f7cc3a1823b5b6457d1e05c34348b8184377915ca285828e38f396ee2,21927804,1637890194,2021-11-26 01:29:54,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x05b9e4456b26045af464f6e78e43b04d82d00961,,0,0,0,0.0001719865,0.000327462296,,,,Confirm Order,
0x895ee8580873b00871898ae39b24c0880409d4ae37cc9ca2ca3a337c2657b644,21927810,1637890210,2021-11-26 01:30:10,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x05b9e4456b26045af464f6e78e43b04d82d00961,,0,0,0,0.0004863425,0.00092599612,,,,Set Financial Agreement Parties,
0xf337b8eb6581a80ede47c36174c65bdd45634a6466fd08782c9688d497ac8864,21927814,1637890218,2021-11-26 01:30:18,0x9049ce69906d3cd891556810c39f09ea921fc087,0x05b9e4456b26045af464f6e78e43b04d82d00961,,0,0,0,0.000103943,0.000197907472,,,,Confirm Financial Agreement,
0x5e753fe643dc12c7a70d81392e3327a59b6c3c776807e81ff5791ecc6c65f0bc,21927818,1637890226,2021-11-26 01:30:26,0x9049ce69906d3cd891556810c39f09ea921fc087,0x05b9e4456b26045af464f6e78e43b04d82d00961,,0,0,0,0.0004871265,0.000927488856,,,,Set LC Agreement,
0x34b11542ad2ab3dd413a105834e49acb84bff2fe23cbe6921bf50e37317226a0,21927823,1637890236,2021-11-26 01:30:36,0x9049ce69906d3cd891556810c39f09ea921fc087,0x05b9e4456b26045af464f6e78e43b04d82d00961,,0,0,0,0.0001880095,0.000357970088,,,,Add Document,
0x894c905b9b58b8e969f5a1f2dd6ad778409ae215fcb6c2f57d84b6cccd062560,21927829,1637890248,2021-11-26 01:30:48,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x05b9e4456b26045af464f6e78e43b04d82d00961,,0,0,0,0.0001670235,0.000318012744,,,,Validate Document,
0xd4df927d514f5c870b1e4bc5b348d7795453413fba0b1c7f064214fa9862bffc,21927834,1637890258,2021-11-26 01:30:58,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x05b9e4456b26045af464f6e78e43b04d82d00961,,0,0,0,0.000661038,0.001258616352,,,,Set Shipping Agreement,
0x7e37ef40e4c9c272d8b520fa251c07819b8897cf71411ef853e69437b7e5d744,21927838,1637890266,2021-11-26 01:31:06,0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6,0x05b9e4456b26045af464f6e78e43b04d82d00961,,0,0,0,0.0001030645,0.000196234808,,,,Verify Goods,
0x63266b31388fe8443a93f2f3e3af6795ba9ecdcf9836cc4b3ac77d5b31c51a80,21927842,1637890274,2021-11-26 01:31:14,0x413209e0c7b8bede4d6a510a8282fd7e92811eee,0x05b9e4456b26045af464f6e78e43b04d82d00961,,0,0,0,0.000119007,0.000226589328,,,,Verify Goods,
0x85981f14a829a826a0203b6a5de2be1550260532ad458e515ec49a13288b6f28,21927846,1637890282,2021-11-26 01:31:22,0x209b153a796c1924b675e5cd9476384cd38e9387,0x05b9e4456b26045af464f6e78e43b04d82d00961,,0,0,0,0.0001138515,0.000216773256,,,,Initiate Shipment,
0x699c430af5d642f0c5566fe0e4775379a6c7c7d229e852ac3b9d1bd3fe3d6fe7,21927853,1637890296,2021-11-26 01:31:36,0xe323b722518c16b903eb840d6ee00c504bfec25b,0x05b9e4456b26045af464f6e78e43b04d82d00961,,0,0,0,0.000119175,0.0002269092,,,,Verify Goods,
0xce5d7b4d834db756d45ba312936b4b124b1b67d33a72e9c8a6842d6e279545a2,21927857,1637890304,2021-11-26 01:31:44,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x05b9e4456b26045af464f6e78e43b04d82d00961,,0,0,0,0.000104286,0.000198560544,,,,Confirm Shipment,
0x9797955cca55f7aa243d902719ce4501febc09a479d003d47ce1bbbfa47a4abe,21927861,1637890312,2021-11-26 01:31:52,0x9049ce69906d3cd891556810c39f09ea921fc087,0x05b9e4456b26045af464f6e78e43b04d82d00961,,0,0,0,0.0004036935,0.000768632424,,,,Set Payment Agreement,
0x9f32cfd55fbc38e0fd7b066318ac18c7415dd7bdf4f3ea59eb12a20631c4f7c5,21927865,1637890320,2021-11-26 01:32:00,0x9049ce69906d3cd891556810c39f09ea921fc087,0x05b9e4456b26045af464f6e78e43b04d82d00961,,0,0,0,0.000112203,0.000213634512,,,,Initiate Payment,
0x79d80b1757e976e3d611e25eb972563eca17cb1ffd1806611e9eea3431c2f4b1,21927869,1637890328,2021-11-26 01:32:08,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x05b9e4456b26045af464f6e78e43b04d82d00961,,0,0,0,0.000104482,0.000198933728,,,,Processpayment,
0x0a1bad9a338924d0aa58350e4af7057ecd749fb3372ef4249573b735bec97aa7,21927872,1637890340,2021-11-26 01:32:20,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x05b9e4456b26045af464f6e78e43b04d82d00961,,0,0,0,0.0001058225,0.00020148604,,,,Payment Received,