Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $4244.66/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method
0xdd50a3321836218d3077d968019acd9dc99e7dd0f20c4712b33ca5c16371007b,9644712,1636953249,2021-11-15 05:14:09,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0xdf33a1132fc93a97ebe6c2ee91cdd92f5af28868,0,0,0,0.010360773994819600,43.977962944851000000,,,,Accepire-BT Contract
0xc7d13850453bb35d35879636b852bd75d541026e83a54ad7cdc9cebac2a40c46,9644713,1636953264,2021-11-15 05:14:24,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xdf33a1132fc93a97ebe6c2ee91cdd92f5af28868,,0,0,0,0.000224109999887945,0.951270752124365000,,,,Set Sales Agreement
0x42709aaec5767c3e2eccbadf7109aaa6aff0144ad81db2c4aee2834b5f266dcf,9644714,1636953279,2021-11-15 05:14:39,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xdf33a1132fc93a97ebe6c2ee91cdd92f5af28868,,0,0,0,0.00028744500249119,1.22010630427425000,,,,Add Order
0xbb7c4ae043a2900d32afb892e8696d22c019fda0a166a1c6eb1ba1541399ea56,9644715,1636953294,2021-11-15 05:14:54,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xdf33a1132fc93a97ebe6c2ee91cdd92f5af28868,,0,0,0,0.000180759001566578,0.767260503589591000,,,,Create Invoice
0x7a4faf5764d9d4536442e59fd1d052e172d84866554fdf15210bebf64f3f2ade,9644716,1636953309,2021-11-15 05:15:09,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xdf33a1132fc93a97ebe6c2ee91cdd92f5af28868,,0,0,0,0.000046603000652442,0.197813892749394000,,,,Confirm Invoice
0xae16e7b1e62e55a1297f05e1fbe5d8c9ef0c7d7262e24e45a6dd59fafd455e6e,9644717,1636953324,2021-11-15 05:15:24,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xdf33a1132fc93a97ebe6c2ee91cdd92f5af28868,,0,0,0,0.000122847500638807,0.521445872061519000,,,,Confirm Order
0x19999c407630848a338f05882c82e3258d22fd6757c0b3567849d04269d1ecd1,9644719,1636953354,2021-11-15 05:15:54,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xdf33a1132fc93a97ebe6c2ee91cdd92f5af28868,,0,0,0,0.00013895500194537,0.58981673855743400,,,,Set Financial Agreement Parties
0xd98624cd508fa495ee6a5bb1555f1bf2123edafc15cd95215523e821e6284592,9644720,1636953369,2021-11-15 05:16:09,0x9049ce69906d3cd891556810c39f09ea921fc087,0xdf33a1132fc93a97ebe6c2ee91cdd92f5af28868,,0,0,0,0.000074245000386074,0.315144783338753000,,,,Confirm Financial Agreement
0x6471a4b03b310a09e0b3e158ab8c9edf20837471f825808ee1a0600b124db5c0,9644722,1636953399,2021-11-15 05:16:39,0x9049ce69906d3cd891556810c39f09ea921fc087,0xdf33a1132fc93a97ebe6c2ee91cdd92f5af28868,,0,0,0,0.000347947501670148,1.476918842439210000,,,,Set LC Agreement
0xc53007f0c58165eeb1d44034d5d3f80db18509b4f05c07b174bed07845d44641,9644723,1636953414,2021-11-15 05:16:54,0x9049ce69906d3cd891556810c39f09ea921fc087,0xdf33a1132fc93a97ebe6c2ee91cdd92f5af28868,,0,0,0,0.000134292500698321,0.570026006014135000,,,,Add Document
0x826435dfa7bf58d54d43e039f4d9f56f2f06c06f49408ad544ce779ee57faee8,9644725,1636953444,2021-11-15 05:17:24,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0xdf33a1132fc93a97ebe6c2ee91cdd92f5af28868,,0,0,0,0.000119302500572652,0.506398552080713000,,,,Validate Document
0xcb2176cf08f71973ebcac527c17fb8f9c087bd5fa556c7a544f4464d8956165d,9644726,1636953459,2021-11-15 05:17:39,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xdf33a1132fc93a97ebe6c2ee91cdd92f5af28868,,0,0,0,0.000472170002266416,2.004201121820170000,,,,Set Shipping Agreement
0xa1eba9bc9c3d685cba21e4727497afbf8b5ef19e55bd24d4f0c66e62b2ff74b3,9644727,1636953474,2021-11-15 05:17:54,0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6,0xdf33a1132fc93a97ebe6c2ee91cdd92f5af28868,,0,0,0,0.000073617500353364,0.312481259049910000,,,,Verify Goods
0x1a35414f29ddd11134aef3279b97d27480446e3e5855e6b564992c392f639ab6,9644728,1636953489,2021-11-15 05:18:09,0x413209e0c7b8bede4d6a510a8282fd7e92811eee,0xdf33a1132fc93a97ebe6c2ee91cdd92f5af28868,,0,0,0,0.000034002000442026,0.144326931196250000,,,,Verify Goods
0xac946069b0ae1fa2c1e63bbdd25422c6c23637cf799a7ef22659e5caf56e4cc7,9644730,1636953519,2021-11-15 05:18:39,0x209b153a796c1924b675e5cd9476384cd38e9387,0xdf33a1132fc93a97ebe6c2ee91cdd92f5af28868,,0,0,0,0.000055299299934942,0.234726726461851000,,,,Initiate Shipment
0xd18807657a8d4e3abaf2b2bdb4ec561fcb8904dc2c596f01ac032251b4d2b610,9644731,1636953534,2021-11-15 05:18:54,0xe323b722518c16b903eb840d6ee00c504bfec25b,0xdf33a1132fc93a97ebe6c2ee91cdd92f5af28868,,0,0,0,0.00003405000044265,0.14453067487889900,,,,Verify Goods
0xfd2939e73a4f754cec60c9a8a4baef719cbda2897a23ccd2dced1c1c113d455f,9644732,1636953549,2021-11-15 05:19:09,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xdf33a1132fc93a97ebe6c2ee91cdd92f5af28868,,0,0,0,0.000074490000327756,0.316184724791213000,,,,Confirm Shipment
0xe8e22de470a77654dba8d5066f3e51f9e1718ba42d0502d287af872aeb69b3cb,9644733,1636953564,2021-11-15 05:19:24,0x9049ce69906d3cd891556810c39f09ea921fc087,0xdf33a1132fc93a97ebe6c2ee91cdd92f5af28868,,0,0,0,0.000173011501268751,0.734374998975417000,,,,Set Payment Agreement
0x1ac0fcaa0635e8fcf39d258634f805834f1c90d4634ebcc797b2038f157b84f4,9644734,1636953579,2021-11-15 05:19:39,0x9049ce69906d3cd891556810c39f09ea921fc087,0xdf33a1132fc93a97ebe6c2ee91cdd92f5af28868,,0,0,0,0.000080145000352638,0.340188277196828000,,,,Initiate Payment
0xaaf5b0bf8d51a56171792b2ff460a1d38a30ac3807975def29973af3dae4a5f0,9644735,1636953594,2021-11-15 05:19:54,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0xdf33a1132fc93a97ebe6c2ee91cdd92f5af28868,,0,0,0,0.000074630000328372,0.316778977193827000,,,,Processpayment
0x292fad067f8c1e6a2bf21ff7a9fd62d0ae24b7f31cfd3ffb60af7ae27848fa50,9644736,1636953609,2021-11-15 05:20:09,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xdf33a1132fc93a97ebe6c2ee91cdd92f5af28868,,0,0,0,0.00003023500036282,0.12833729664004800,,,,Payment Received